sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,QB,era_ensemble,ridge,10,val_weighted,553,73,0.973406420000174
football,QB,era_ensemble,lasso,10,val_weighted,553,73,0.108130185999471
football,QB,era_ensemble,elasticnet,10,val_weighted,553,73,0.09953606099952594
football,QB,era_ensemble,random_forest,10,val_weighted,553,73,2.1429748859991378
football,QB,era_ensemble,lightgbm,10,val_weighted,553,73,0.5098221380012546
football,QB,era_ensemble,xgboost,10,val_weighted,553,73,1.8060860870009492
football,QB,era_ensemble,ridge,10,mean,553,73,0.04100112600099237
football,QB,era_ensemble,lasso,10,mean,553,73,0.05072578900035296
football,QB,era_ensemble,elasticnet,10,mean,553,73,0.044160946001284174
football,QB,era_ensemble,random_forest,10,mean,553,73,1.067342901000302
football,QB,era_ensemble,lightgbm,10,mean,553,73,0.1817778120002913
football,QB,era_ensemble,xgboost,10,mean,553,73,0.9742187409992766
football,QB,era_ensemble,ridge,10,recency_weighted,553,73,0.04071884999939357
football,QB,era_ensemble,lasso,10,recency_weighted,553,73,0.04837191300066479
football,QB,era_ensemble,elasticnet,10,recency_weighted,553,73,0.0440481509995152
football,QB,era_ensemble,random_forest,10,recency_weighted,553,73,1.0276093749998836
football,QB,era_ensemble,lightgbm,10,recency_weighted,553,73,0.1881788000009692
football,QB,era_ensemble,xgboost,10,recency_weighted,553,73,0.9479734540000209
football,QB,era_ensemble,ridge,20,val_weighted,1145,73,0.10079662600037409
football,QB,era_ensemble,lasso,20,val_weighted,1145,73,0.11360891099866421
football,QB,era_ensemble,elasticnet,20,val_weighted,1145,73,0.10940598500019405
football,QB,era_ensemble,random_forest,20,val_weighted,1145,73,2.7659961819990713
football,QB,era_ensemble,lightgbm,20,val_weighted,1145,73,1.1867968349997682
football,QB,era_ensemble,xgboost,20,val_weighted,1145,73,2.0914400509991538
football,QB,era_ensemble,ridge,20,mean,1145,73,0.04746775700004946
football,QB,era_ensemble,lasso,20,mean,1145,73,0.05620042199916497
football,QB,era_ensemble,elasticnet,20,mean,1145,73,0.053158583999902476
football,QB,era_ensemble,random_forest,20,mean,1145,73,1.3990479439999035
football,QB,era_ensemble,lightgbm,20,mean,1145,73,0.7952649170001678
football,QB,era_ensemble,xgboost,20,mean,1145,73,1.098538770000232
football,QB,era_ensemble,ridge,20,recency_weighted,1145,73,0.04577342199991108
football,QB,era_ensemble,lasso,20,recency_weighted,1145,73,0.05513876300028642
football,QB,era_ensemble,elasticnet,20,recency_weighted,1145,73,0.05058504899898253
football,QB,era_ensemble,random_forest,20,recency_weighted,1145,73,1.6707601269990846
football,QB,era_ensemble,lightgbm,20,recency_weighted,1145,73,0.5853799559990875
football,QB,era_ensemble,xgboost,20,recency_weighted,1145,73,1.308583367999745
football,QB,era_ensemble,ridge,30,val_weighted,1145,73,0.10192825000012817
football,QB,era_ensemble,lasso,30,val_weighted,1145,73,0.11657320000085747
football,QB,era_ensemble,elasticnet,30,val_weighted,1145,73,0.11713056799999322
football,QB,era_ensemble,random_forest,30,val_weighted,1145,73,2.804705191998437
football,QB,era_ensemble,lightgbm,30,val_weighted,1145,73,0.9495145050004794
football,QB,era_ensemble,xgboost,30,val_weighted,1145,73,2.1845182420001947
football,QB,era_ensemble,ridge,30,mean,1145,73,0.04647639600079856
football,QB,era_ensemble,lasso,30,mean,1145,73,0.05291912999928172
football,QB,era_ensemble,elasticnet,30,mean,1145,73,0.05444112800068979
football,QB,era_ensemble,random_forest,30,mean,1145,73,1.3800354710001557
football,QB,era_ensemble,lightgbm,30,mean,1145,73,0.5683582950005075
football,QB,era_ensemble,xgboost,30,mean,1145,73,1.211412794998978
football,QB,era_ensemble,ridge,30,recency_weighted,1145,73,0.04907126400030393
football,QB,era_ensemble,lasso,30,recency_weighted,1145,73,0.05766198200035433
football,QB,era_ensemble,elasticnet,30,recency_weighted,1145,73,0.054402326999479556
football,QB,era_ensemble,random_forest,30,recency_weighted,1145,73,1.4054481570001371
football,QB,era_ensemble,lightgbm,30,recency_weighted,1145,73,0.5910305220004375
football,QB,era_ensemble,xgboost,30,recency_weighted,1145,73,1.4454015989995241
