model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,4,10,0.7681617163705037,0.0360130674389452,0.5166666666666667,2.421333566531909
elasticnet,mean,4,20,0.7675754672105306,0.038240152363329845,0.5166666666666667,2.423074285906709
elasticnet,mean,4,30,0.7675754672105306,0.038240152363329845,0.5166666666666667,2.423074285906709
elasticnet,mean,6,10,0.7668141814693866,0.028532558884571894,0.5166666666666667,2.43536084697087
elasticnet,mean,6,20,0.7670555195122655,0.029673988286238767,0.5333333333333334,2.428431796320389
elasticnet,mean,6,30,0.7670555195122655,0.029673988286238767,0.5333333333333334,2.428431796320389
elasticnet,mean,7,10,0.7461153966024959,0.03568225207467356,0.5,2.5113505703779637
elasticnet,mean,7,20,0.7483272809342003,0.03286925965599572,0.5,2.5152139372016067
elasticnet,mean,7,30,0.7483272809342003,0.03286925965599572,0.5,2.5152139372016067
elasticnet,mean,8,10,0.7741051013060132,0.033154459273633204,0.5333333333333334,2.4044188137341225
elasticnet,mean,8,20,0.7754058257488423,0.03450032089353547,0.5333333333333334,2.39135460820694
elasticnet,mean,8,30,0.7754058257488423,0.03450032089353547,0.5333333333333334,2.39135460820694
elasticnet,mean,10,10,0.7734554274491933,0.028493238679409217,0.55,2.422250270499547
elasticnet,mean,10,20,0.7778670968621967,0.030738730438044853,0.55,2.3979102332405686
elasticnet,mean,10,30,0.7778670968621967,0.030738730438044853,0.55,2.3979102332405686
elasticnet,mean,12,10,0.7727199550248665,0.038992130237305474,0.5333333333333333,2.474603636200105
elasticnet,mean,12,20,0.7790154628930618,0.03785553381887115,0.5333333333333333,2.4376035092835626
elasticnet,mean,12,30,0.7790154628930618,0.03785553381887115,0.5333333333333333,2.4376035092835626
elasticnet,recency_weighted,4,10,0.7695110824528053,0.03655485982562763,0.5333333333333334,2.432353173588092
elasticnet,recency_weighted,4,20,0.7702608373177796,0.0390087543043022,0.5333333333333334,2.4366810442892937
elasticnet,recency_weighted,4,30,0.7702608373177796,0.0390087543043022,0.5333333333333334,2.4366810442892937
