sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,RB,era_ensemble,ridge,10,val_weighted,1177,80,1.2238322519997382
football,RB,era_ensemble,lasso,10,val_weighted,1177,80,0.17881431699970562
football,RB,era_ensemble,elasticnet,10,val_weighted,1177,80,0.1637984660001166
football,RB,era_ensemble,random_forest,10,val_weighted,1177,80,3.520659088999764
football,RB,era_ensemble,lightgbm,10,val_weighted,1177,80,5.025403887999801
football,RB,era_ensemble,xgboost,10,val_weighted,1177,80,19.741263937999975
football,RB,era_ensemble,ridge,10,mean,1177,80,0.0828867079999327
football,RB,era_ensemble,lasso,10,mean,1177,80,0.0936243689998264
football,RB,era_ensemble,elasticnet,10,mean,1177,80,0.08560059499995987
football,RB,era_ensemble,random_forest,10,mean,1177,80,2.0865520140000626
football,RB,era_ensemble,lightgbm,10,mean,1177,80,2.7692852369996217
football,RB,era_ensemble,xgboost,10,mean,1177,80,7.919009478999669
football,RB,era_ensemble,ridge,10,recency_weighted,1177,80,0.07195826199995281
football,RB,era_ensemble,lasso,10,recency_weighted,1177,80,0.09617561200002456
football,RB,era_ensemble,elasticnet,10,recency_weighted,1177,80,0.08903277600029469
football,RB,era_ensemble,random_forest,10,recency_weighted,1177,80,1.9906611789997442
football,RB,era_ensemble,lightgbm,10,recency_weighted,1177,80,2.985782952000136
football,RB,era_ensemble,xgboost,10,recency_weighted,1177,80,6.860360818000117
football,RB,era_ensemble,ridge,20,val_weighted,2380,80,0.1980879550001191
football,RB,era_ensemble,lasso,20,val_weighted,2380,80,0.23481600100012656
football,RB,era_ensemble,elasticnet,20,val_weighted,2380,80,0.22698379399980695
football,RB,era_ensemble,random_forest,20,val_weighted,2380,80,7.021331536000162
football,RB,era_ensemble,lightgbm,20,val_weighted,2380,80,8.97910901799969
football,RB,era_ensemble,xgboost,20,val_weighted,2380,80,14.219387175000065
football,RB,era_ensemble,ridge,20,mean,2380,80,0.10957373199971698
football,RB,era_ensemble,lasso,20,mean,2380,80,0.11195252400011668
football,RB,era_ensemble,elasticnet,20,mean,2380,80,0.12918697400027668
football,RB,era_ensemble,random_forest,20,mean,2380,80,3.7427179239998623
football,RB,era_ensemble,lightgbm,20,mean,2380,80,5.090679053999793
football,RB,era_ensemble,xgboost,20,mean,2380,80,8.795667230000163
football,RB,era_ensemble,ridge,20,recency_weighted,2380,80,0.088996627999677
football,RB,era_ensemble,lasso,20,recency_weighted,2380,80,0.12010010299991336
football,RB,era_ensemble,elasticnet,20,recency_weighted,2380,80,0.09955023000020446
football,RB,era_ensemble,random_forest,20,recency_weighted,2380,80,3.7325699709999753
football,RB,era_ensemble,lightgbm,20,recency_weighted,2380,80,5.582847775999653
football,RB,era_ensemble,xgboost,20,recency_weighted,2380,80,11.075345249000293
football,RB,era_ensemble,ridge,30,val_weighted,2380,80,0.21812142999988282
football,RB,era_ensemble,lasso,30,val_weighted,2380,80,0.21670274999996764
football,RB,era_ensemble,elasticnet,30,val_weighted,2380,80,0.20838769600004525
football,RB,era_ensemble,random_forest,30,val_weighted,2380,80,7.154266584000197
football,RB,era_ensemble,lightgbm,30,val_weighted,2380,80,11.066900341999826
football,RB,era_ensemble,xgboost,30,val_weighted,2380,80,19.513130768999872
football,RB,era_ensemble,ridge,30,mean,2380,80,0.10113148900018132
football,RB,era_ensemble,lasso,30,mean,2380,80,0.14871313999992708
football,RB,era_ensemble,elasticnet,30,mean,2380,80,0.12602089600022737
football,RB,era_ensemble,random_forest,30,mean,2380,80,4.081109918000038
football,RB,era_ensemble,lightgbm,30,mean,2380,80,5.616516815000068
football,RB,era_ensemble,xgboost,30,mean,2380,80,8.699861355999928
football,RB,era_ensemble,ridge,30,recency_weighted,2380,80,0.0978713270001208
football,RB,era_ensemble,lasso,30,recency_weighted,2380,80,0.10504234799964252
football,RB,era_ensemble,elasticnet,30,recency_weighted,2380,80,0.10327054600020347
football,RB,era_ensemble,random_forest,30,recency_weighted,2380,80,3.8780459609997706
football,RB,era_ensemble,lightgbm,30,recency_weighted,2380,80,4.060707184999956
football,RB,era_ensemble,xgboost,30,recency_weighted,2380,80,8.510520975999952
