model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,4,10,0.7509102721921534,0.03682839587846009,0.5333333333333333,2.831291863401191
elasticnet,mean,4,20,0.7480295131385353,0.03796487191468162,0.55,2.8377204821900115
elasticnet,mean,4,30,0.7480295131385353,0.03796487191468162,0.55,2.8377204821900115
elasticnet,mean,6,10,0.7479930852342391,0.056483274020054895,0.55,2.825623687293834
elasticnet,mean,6,20,0.7445947249203226,0.05913523607642601,0.55,2.826766286121317
elasticnet,mean,6,30,0.7445947249203226,0.05913523607642601,0.55,2.826766286121317
elasticnet,mean,8,10,0.7305257047185009,0.05910255688112036,0.55,2.9294605980910644
elasticnet,mean,8,20,0.7285909869462375,0.06053038200061442,0.55,2.925730753889134
elasticnet,mean,8,30,0.7285909869462375,0.06053038200061442,0.55,2.925730753889134
elasticnet,mean,10,10,0.6909220009929047,0.07141776874279432,0.55,3.121004379584992
elasticnet,mean,10,20,0.6884249734047995,0.07369244745127365,0.5333333333333333,3.1053912715424943
elasticnet,mean,10,30,0.6884249734047995,0.07369244745127365,0.5333333333333333,3.1053912715424943
elasticnet,mean,12,10,0.6512527330346465,0.10247640117332642,0.5166666666666667,3.2957980310342165
elasticnet,mean,12,20,0.6492614347778487,0.10541665851991937,0.5166666666666666,3.2742606143262107
elasticnet,mean,12,30,0.6492614347778487,0.10541665851991937,0.5166666666666666,3.2742606143262107
elasticnet,recency_weighted,4,10,0.7333341913574922,0.04196509179374469,0.55,2.9341441774224717
elasticnet,recency_weighted,4,20,0.7328547359488271,0.04242454379305264,0.5333333333333334,2.942875799907392
elasticnet,recency_weighted,4,30,0.7328547359488271,0.04242454379305264,0.5333333333333334,2.942875799907392
elasticnet,recency_weighted,6,10,0.7301607555109613,0.06538626191540461,0.55,2.912032034419957
elasticnet,recency_weighted,6,20,0.7287268132880826,0.06782003611757345,0.55,2.918062726357185
elasticnet,recency_weighted,6,30,0.7287268132880826,0.06782003611757345,0.55,2.918062726357185
elasticnet,recency_weighted,8,10,0.7109549741094365,0.06925093666214303,0.55,3.0135682346128916
elasticnet,recency_weighted,8,20,0.7097700112053718,0.07062970535353842,0.55,3.0166861882030305
elasticnet,recency_weighted,8,30,0.7097700112053718,0.07062970535353842,0.55,3.0166861882030305
elasticnet,recency_weighted,10,10,0.6733344224481346,0.07851213062124886,0.5333333333333334,3.1898871483024185
elasticnet,recency_weighted,10,20,0.6731540086781839,0.0805285198680219,0.5333333333333334,3.1865368566368266
elasticnet,recency_weighted,10,30,0.6731540086781839,0.0805285198680219,0.5333333333333334,3.1865368566368266
elasticnet,recency_weighted,12,10,0.632453110496313,0.10507788995137758,0.5,3.3563067991381317
elasticnet,recency_weighted,12,20,0.6318377994255976,0.10947327570247153,0.5,3.3493430485031284
elasticnet,recency_weighted,12,30,0.6318377994255976,0.10947327570247153,0.5,3.3493430485031284
elasticnet,val_weighted,4,10,0.750790853186329,0.037086720647330935,0.5333333333333333,2.8311519969819585
elasticnet,val_weighted,4,20,0.7484462695212903,0.03788424900579192,0.55,2.837785836163916
elasticnet,val_weighted,4,30,0.7484462695212903,0.03788424900579192,0.55,2.837785836163916
elasticnet,val_weighted,6,10,0.74785887554447,0.05676487671442918,0.55,2.8258763097113424
elasticnet,val_weighted,6,20,0.7446247752890385,0.05991731251053054,0.55,2.827091409367313
elasticnet,val_weighted,6,30,0.7446247752890385,0.05991731251053054,0.55,2.827091409367313
elasticnet,val_weighted,8,10,0.7304473016209563,0.05925922542307784,0.55,2.9301014352623165
elasticnet,val_weighted,8,20,0.7283687217751416,0.06141510820137818,0.55,2.9263170811515034
elasticnet,val_weighted,8,30,0.7283687217751416,0.06141510820137818,0.55,2.9263170811515034
elasticnet,val_weighted,10,10,0.6906915123649597,0.07133789726174863,0.55,3.1226254090057415
elasticnet,val_weighted,10,20,0.6886262569442272,0.07412166061169434,0.5333333333333333,3.106705206360632
elasticnet,val_weighted,10,30,0.6886262569442272,0.07412166061169434,0.5333333333333333,3.106705206360632
elasticnet,val_weighted,12,10,0.6505495638651669,0.10288786665863002,0.5333333333333334,3.2975065897307885
elasticnet,val_weighted,12,20,0.6494467460576582,0.10597459835309621,0.5166666666666666,3.275524869902209
elasticnet,val_weighted,12,30,0.6494467460576582,0.10597459835309621,0.5166666666666666,3.275524869902209
lasso,mean,4,10,0.7531634398925695,0.037557204191636724,0.5333333333333333,2.8169454286904854
lasso,mean,4,20,0.7506817074050833,0.037748877486974,0.5333333333333333,2.8222429401004834
lasso,mean,4,30,0.7506817074050833,0.037748877486974,0.5333333333333333,2.8222429401004834
lasso,mean,6,10,0.7498117791034383,0.05644889120431764,0.55,2.8164737644167652
lasso,mean,6,20,0.7471592291632629,0.0590043699980576,0.55,2.8171250667058283
lasso,mean,6,30,0.7471592291632629,0.0590043699980576,0.55,2.8171250667058283
lasso,mean,8,10,0.7337661769134701,0.05949440340925947,0.55,2.920974320787277
lasso,mean,8,20,0.7312887288092869,0.061128988313923036,0.55,2.9163721446387103
lasso,mean,8,30,0.7312887288092869,0.061128988313923036,0.55,2.9163721446387103
lasso,mean,10,10,0.6943385711443296,0.07274493958530184,0.5333333333333333,3.1150529765959702
lasso,mean,10,20,0.6924404587566787,0.07557577109133139,0.55,3.099393246177987
lasso,mean,10,30,0.6924404587566787,0.07557577109133139,0.55,3.099393246177987
lasso,mean,12,10,0.655694733537523,0.10398697455555836,0.5166666666666666,3.292350870407577
lasso,mean,12,20,0.6545558698896713,0.10946689477564985,0.5166666666666666,3.270171195338629
lasso,mean,12,30,0.6545558698896713,0.10946689477564985,0.5166666666666666,3.270171195338629
lasso,recency_weighted,4,10,0.7376492762582386,0.03883554739777035,0.5333333333333334,2.9039013158879765
lasso,recency_weighted,4,20,0.7368310293907705,0.04236310953602423,0.55,2.911156216714516
