sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,WR,era_ensemble,ridge,10,val_weighted,1389,81,1.0169353000019328
football,WR,era_ensemble,lasso,10,val_weighted,1389,81,0.15066040599776898
football,WR,era_ensemble,elasticnet,10,val_weighted,1389,81,0.136454554998636
football,WR,era_ensemble,random_forest,10,val_weighted,1389,81,3.0512546680001833
football,WR,era_ensemble,lightgbm,10,val_weighted,1389,81,1.2301558010003646
football,WR,era_ensemble,xgboost,10,val_weighted,1389,81,2.751365647996863
football,WR,era_ensemble,ridge,10,mean,1389,81,0.06358719700074289
football,WR,era_ensemble,lasso,10,mean,1389,81,0.06764096199913183
football,WR,era_ensemble,elasticnet,10,mean,1389,81,0.0630987369986542
football,WR,era_ensemble,random_forest,10,mean,1389,81,1.7170738220011117
football,WR,era_ensemble,lightgbm,10,mean,1389,81,0.6831231709984422
football,WR,era_ensemble,xgboost,10,mean,1389,81,1.4184226490033325
football,WR,era_ensemble,ridge,10,recency_weighted,1389,81,0.06307976199968834
football,WR,era_ensemble,lasso,10,recency_weighted,1389,81,0.06834573000014643
football,WR,era_ensemble,elasticnet,10,recency_weighted,1389,81,0.0633094330005406
football,WR,era_ensemble,random_forest,10,recency_weighted,1389,81,1.7346000390025438
football,WR,era_ensemble,lightgbm,10,recency_weighted,1389,81,0.616818577000231
football,WR,era_ensemble,xgboost,10,recency_weighted,1389,81,1.427946637999412
football,WR,era_ensemble,ridge,20,val_weighted,2423,81,0.1663648869980534
football,WR,era_ensemble,lasso,20,val_weighted,2423,81,0.17889838900009636
football,WR,era_ensemble,elasticnet,20,val_weighted,2423,81,0.1710697970011097
football,WR,era_ensemble,random_forest,20,val_weighted,2423,81,5.546651290998852
football,WR,era_ensemble,lightgbm,20,val_weighted,2423,81,1.7179340469992894
football,WR,era_ensemble,xgboost,20,val_weighted,2423,81,2.9582138730002043
football,WR,era_ensemble,ridge,20,mean,2423,81,0.07254413400005433
football,WR,era_ensemble,lasso,20,mean,2423,81,0.08091448699997272
football,WR,era_ensemble,elasticnet,20,mean,2423,81,0.08348943700184464
football,WR,era_ensemble,random_forest,20,mean,2423,81,2.8159000140003627
football,WR,era_ensemble,lightgbm,20,mean,2423,81,0.8707374980003806
football,WR,era_ensemble,xgboost,20,mean,2423,81,1.539775325996743
football,WR,era_ensemble,ridge,20,recency_weighted,2423,81,0.06545158600056311
football,WR,era_ensemble,lasso,20,recency_weighted,2423,81,0.08238149600219913
football,WR,era_ensemble,elasticnet,20,recency_weighted,2423,81,0.07988783000109834
football,WR,era_ensemble,random_forest,20,recency_weighted,2423,81,2.783216359002836
football,WR,era_ensemble,lightgbm,20,recency_weighted,2423,81,0.8918353089975426
football,WR,era_ensemble,xgboost,20,recency_weighted,2423,81,1.472191330998612
football,WR,era_ensemble,ridge,30,val_weighted,2423,81,0.15677146099915262
football,WR,era_ensemble,lasso,30,val_weighted,2423,81,0.1775812610030698
football,WR,era_ensemble,elasticnet,30,val_weighted,2423,81,0.1700978059998306
football,WR,era_ensemble,random_forest,30,val_weighted,2423,81,5.456687849000446
football,WR,era_ensemble,lightgbm,30,val_weighted,2423,81,1.7047968829974707
football,WR,era_ensemble,xgboost,30,val_weighted,2423,81,2.7885664739987988
football,WR,era_ensemble,ridge,30,mean,2423,81,0.06827928400161909
football,WR,era_ensemble,lasso,30,mean,2423,81,0.08765811899866094
football,WR,era_ensemble,elasticnet,30,mean,2423,81,0.08156701699772384
football,WR,era_ensemble,random_forest,30,mean,2423,81,2.8038366380023945
football,WR,era_ensemble,lightgbm,30,mean,2423,81,0.7892871490003017
football,WR,era_ensemble,xgboost,30,mean,2423,81,1.6458027209991997
football,WR,era_ensemble,ridge,30,recency_weighted,2423,81,0.07410348099801922
football,WR,era_ensemble,lasso,30,recency_weighted,2423,81,0.08193298100013635
football,WR,era_ensemble,elasticnet,30,recency_weighted,2423,81,0.0751562669975101
football,WR,era_ensemble,random_forest,30,recency_weighted,2423,81,2.800249341999006
football,WR,era_ensemble,lightgbm,30,recency_weighted,2423,81,0.9061483690020395
football,WR,era_ensemble,xgboost,30,recency_weighted,2423,81,1.4746843550019548
